Nama Produk,Harga,Link,Gambar
LG KULKAS 1 PINTU 1 DOOR REFRIGERATOR GNY201CLS,2.149.000,https://myhartono.com/en/lg-kulkas-1-pintu-1-door-refrigerator-gny201cls/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/GNY201CLS-USP.webp
LG KULKAS 2 PINTU BESAR 2 DOOR BIG REFRIGERATOR GNB389FLDM,6.999.000,https://myhartono.com/en/lg-kulkas-2-pintu-besar-2-door-big-refrigerator-gnb389fldm/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/GNB389FLDM-USP.webp
LG KULKAS 2 PINTU BESAR 2 DOOR BIG REFRIGERATOR GNF452PQAQ,8.899.000,https://myhartono.com/en/lg-kulkas-2-pintu-besar-2-door-big-refrigerator-gnf452pqaq/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/GNF452PQAQ-USP.webp
LG KULKAS 2 PINTU BESAR 2 DOOR BIG REFRIGERATOR GNV389FQEF,10.889.000,https://myhartono.com/en/lg-kulkas-2-pintu-besar-2-door-big-refrigerator-gnv389fqef/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/GNV389FQEF-USP.webp
LG KULKAS 2 PINTU KECIL SMALL 2 DOOR REFRIGERATOR GNB202SQIR,3.159.000,https://myhartono.com/en/lg-kulkas-2-pintu-kecil-small-2-door-refrigerator-gnb202sqir/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/GNB202SQIR-USP.webp
LG KULKAS 2 PINTU BESAR BIG 2 DOOR REFRIGERATOR GNB332PQFB,6.229.000,https://myhartono.com/en/lg-kulkas-2-pintu-besar-big-2-door-refrigerator-gnb332pqfb/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/GNB332PQFB-USP.webp
LG KULKAS 2 PINTU BESAR 2 DOOR BIG REFRIGERATOR GNB332PGFB,5.779.000,https://myhartono.com/en/lg-kulkas-2-pintu-besar-2-door-big-refrigerator-gnb332pgfb/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/GNB332PGFB-USP.webp
LG KULKAS 2 PINTU BESAR BIG 2 DOOR REFRIGERATOR GNB372PQFB,6.699.000,https://myhartono.com/en/lg-kulkas-2-pintu-besar-big-2-door-refrigerator-gnb372pqfb/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/GNB372PQFB-USP.webp
LG KULKAS 2 PINTU BESAR BIG 2 DOOR REFRIGERATOR GNB392PQMB,6.399.000,https://myhartono.com/en/lg-kulkas-2-pintu-besar-big-2-door-refrigerator-gnb392pqmb/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/GNB392PQMB-USP.webp
LG KULKAS 2 PINTU BESAR BIG 2 DOOR REFRIGERATOR GNB332PQMB,5.399.000,https://myhartono.com/en/lg-kulkas-2-pintu-besar-big-2-door-refrigerator-gnb332pqmb/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/GNB332PQMB-USP.webp
