Nama Produk,Harga,Link,Gambar
ASUS LAPTOP NOTEBOOK ZENBOOK UX3405CA-OLED5111T INTEL CORE ULTRA 5-225H,Rp 16.499.000,https://myhartono.com/en/asus-ux3405ca-cu5-225h-16g1tbwblm365touc-ux3405ca-oled5111t/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/409/UX3405CA-OLED5111T.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK 14X K3405VF-VIPS552 INTEL CORE I5-13500H,Rp 11.499.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-14x-k3405vf-vips552-intel-core-i5-13500h/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/393/K3405VF-VIPS552.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK GO 14 E410KA-FHD436M INTEL CELERON N4500,Rp 4.899.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-go-14-e410ka-fhd436m-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/406/E410KA-FHD436M.webp
ASUS LAPTOP NOTEBOOK A1404ZA-VIPS5852M INTEL CORE I5-1235U,Rp 7.699.000,https://myhartono.com/en/asus-laptop-notebook-a1404za-vips5852m-intel-core-i5-1235u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/414/A1404ZA-VIPS5852M.webp
ASUS LAPTOP NOTEBOOK ZENBOOK UX5401ZA-AF50 INTEL CORE I5-1240P,Rp 18.799.000,https://myhartono.com/en/asus-laptop-notebook-zenbook-ux5401za-af50-intel-core-i5-1240p/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/402/UX5401ZA-AF50.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK 14 A1404VA-VIPS5851M INTEL CORE I5-1334U,Rp 8.299.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-14-a1404va-vips5851m-intel-core-i5-1334u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/417/90NB10I3-M012H0.webp
ASUS LAPTOP NOTEBOOK E1404FA-FHD320M INTEL CELERON N4500,Rp 4.649.000,https://myhartono.com/en/asus-laptop-notebook-e1404fa-fhd320m-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/407/E1404FA-FHD320M.webp
ASUS LAPTOP NOTEBOOK E410KA-FHD454 INTEL CELERON N4500,Rp 4.899.000,https://myhartono.com/en/asus-laptop-notebook-e410ka-fhd454-intel-celeron-n4500/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/404/E410KA-FHD454.webp
ASUS LAPTOP NOTEBOOK VIVOBOOK 14 A1404VA-VIPS5850M INTEL CORE I5-1334U,Rp 8.299.000,https://myhartono.com/en/asus-laptop-notebook-vivobook-14-a1404va-vips5850m-intel-core-i5-1334u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/417/90NB10I3-M00XW0.webp
ASUS LAPTOP NOTEBOOK ZENBOOK UX3405CA-OLEDS9313 INTEL CORE ULTRA 9-285H,Rp 21.599.000,https://myhartono.com/en/asus-laptop-notebook-zenbook-ux3405ca-oleds9313-intel-core-ultra-9-285h/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/409/UX3405CA-OLEDS9313.webp
