Nama Produk,Harga,Link,Gambar
LENOVO LAPTOP NOTEBOOK IDEAPAD SLIM 5 14IMH9 INTEL CORE ULTRA 7-155H,13.399.000,https://myhartono.com/en/lenovo-laptop-notebook-ideapad-slim-5-14imh9-intel-core-ultra-7-155h-en-2/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/385/IP5_83DA004RID-_cn7w-6b.jpg
LENOVO LAPTOP NOTEBOOK IDEAPAD SLIM 5 14IRL8 INTEL CORE I7-13620H,12.899.000,https://myhartono.com/en/lenovo-laptop-notebook-ideapad-slim-5-14irl8-intel-core-i7-13620h-en-4/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/385/IP5_82XD009NID_746o-cm.jpg
LENOVO GAMING LAPTOP NOTEBOOK LOQ 15AHP9 AMD RYZEN 5-8645HS WITH AI CHIP LA1,14.249.000,https://myhartono.com/en/lenovo-loq-15ahp9-r5-8645hs-8g512gw11gro-loq83dx0037id/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/395/LOQ_83DX0037ID-280824-1_copy.WEBP
LENOVO LAPTOP NOTEBOOK IDEAPAD SLIM 5 14IRL8 INTEL CORE I5-13420H,11.099.000,https://myhartono.com/en/lenovo-laptop-notebook-ideapad-slim-5-14irl8-intel-core-i5-13420h-en/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/391/IP5_82XD009MID-190724-1_copy.WEBP
LENOVO LAPTOP NOTEBOOK IDEAPAD SLIM 5 14IMH9 INTEL CORE ULTRA 5-125H,11.699.000,https://myhartono.com/en/lenovo-laptop-notebook-ideapad-slim-5-14imh9-intel-core-ultra-5-125h-en-2/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/395/IP5_83DA004RID-280824-1_copy.WEBP
LENOVO LAPTOP NOTEBOOK YOGA SLIM 7 14IMH9 INTEL CORE ULTRA 7-155H,16.899.000,https://myhartono.com/en/lenovo-laptop-notebook-yoga-slim-7-14imh9-intel-core-ultra-7-155h/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/380/YOGAS7_83CV0004ID-1.jpg
LENOVO LAPTOP NOTEBOOK IDEAPAD SLIM 3 14ABR8 AMD RYZEN 7-7730U,9.299.000,https://myhartono.com/en/lenovo-laptop-notebook-ideapad-slim-3-14abr8-amd-ryzen-7-7730u-121484/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/380/IP3_82XL006JID-1.jpg
LENOVO LAPTOP NOTEBOOK IDEAPAD SLIM 3 14ABR8 AMD RYZEN 7-7730U,9.299.000,https://myhartono.com/en/lenovo-laptop-notebook-ideapad-slim-3-14abr8-amd-ryzen-7-7730u-121404/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/380/IP3_82XL006HID-1.jpg
LENOVO GAMING LAPTOP NOTEBOOK LOQ 15IRX9 INTEL CORE I7-13650HX,15.849.000,https://myhartono.com/en/lenovo-gaming-laptop-notebook-loq-15irx9-intel-core-i7-13650hx/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/383/LOQ_83DV00A8ID_3xg7-lh.jpg
LENOVO GAMING LAPTOP NOTEBOOK LOQ 15IAX9 INTEL CORE I5-12450HX,12.999.000,https://myhartono.com/en/lenovo-gaming-laptop-notebook-loq-15iax9-intel-core-i5-12450hx/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/383/LOQ_83GS001JID.jpg
LENOVO LAPTOP NOTEBOOK IDEAPAD SLIM 3 14IRH8 INTEL CORE I7-13620H,10.799.000,https://myhartono.com/en/lenovo-laptop-notebook-ideapad-slim-3-14irh8-intel-core-i7-13620h/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/388/IP3_83EL002AID.webp
LENOVO LAPTOP NOTEBOOK IDEAPAD SLIM 3 14IAU7 INTEL CORE I3-1215U,6.049.000,https://myhartono.com/en/lenovo-laptop-notebook-ideapad-slim-3-14iau7-intel-core-i3-1215u/,https://s3.ap-southeast-3.amazonaws.com/hartono-mh1/images/detailed/419/IP3_82RJ00CYID-1_copy.WEBP
